"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","LineNumber","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"108",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","108 ","0604814A","Artillery Munitions - EMD","108 ","Y","Y","U",2012,"Total",45821,NA,NA,NA,NA
"109",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","109 ","0604818A","Army Tactical Command & Control Hardware & Software","109 ","Y","Y","U",2012,"Total",91490,NA,NA,NA,NA
"110",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","110 ","0604820A","Radar Development","110 ","Y","Y","U",2012,"Total",3093,NA,NA,NA,NA
"111",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","111 ","0604822A","General Fund Enterprise Business System (GFEBS)","111 ","Y","Y","U",2012,"Total",787,NA,NA,NA,NA
"112",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","112 ","0604823A","Firefinder","112 ","Y","Y","U",2012,"Total",12032,NA,NA,NA,NA
"113",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","113 ","0604827A","Soldier Systems - Warrior Dem/Val","113 ","Y","Y","U",2012,"Total",41680,NA,NA,NA,NA
"114",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","114 ","0604854A","Artillery Systems - EMD","114 ","Y","Y","U",2012,"Total",116293,NA,NA,NA,NA
"115",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","115 ","0604869A","Patriot/MEADS Combined Aggregate Program (CAP)","115 ","Y","Y","U",2012,"Total",377610,NA,NA,NA,NA
"116",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","116 ","0604870A","Nuclear Arms Control Monitoring Sensor Network","116 ","Y","Y","U",2012,"Total",7160,NA,NA,NA,NA
"117",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","117 ","0605013A","Information Technology Development","117 ","Y","Y","U",2012,"Total",35714,NA,NA,NA,NA
"118",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","118 ","0605018A","Integrated Personnel and Pay System-Army (IPPS-A)","118 ","Y","Y","U",2012,"Total",66612,NA,NA,NA,NA
"119",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","119 ","0605028A","Armored Multi-Purpose Vehicle (AMPV)","119 ","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"120",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","120 ","0605030A","Joint Tactical Network Center (JTNC)","120 ","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"121",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","121 ","0605380A","AMF Joint Tactical Radio System (JTRS)","121 ","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"122",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","122 ","0605450A","Joint Air-to-Ground Missile (JAGM)","122 ","Y","Y","U",2012,"Total",123100,NA,NA,NA,NA
"123",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","123 ","0605455A","SLAMRAAM","123 ","Y","Y","U",2012,"Total",1186,NA,NA,NA,NA
"124",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","124 ","0605456A","PAC-3/MSE Missile","124 ","Y","Y","U",2012,"Total",86139,NA,NA,NA,NA
"125",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","125 ","0605457A","Army Integrated Air and Missile Defense (AIAMD)","125 ","Y","Y","U",2012,"Total",262032,NA,NA,NA,NA
"126",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","126 ","0605625A","Manned Ground Vehicle","126 ","Y","Y","U",2012,"Total",434977,NA,NA,NA,NA
"127",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","127 ","0605626A","Aerial Common Sensor","127 ","Y","Y","U",2012,"Total",31415,NA,NA,NA,NA
"128",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","128 ","0605766A","National Capabilities Integration (MIP)","128 ","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
