"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivityTitle","BudgetLineItem","LineNumber","LineNumber","SAG","IncludeInTOA","Classified","FiscalYear","OriginType","Var.16","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"2409",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","In-House Care","010","010","1","Y","U",2017,"OCO",NA,NA,NA,NA,NA,95366
"2410",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","Private Sector Care","020","020","2","Y","U",2017,"OCO",NA,NA,NA,NA,NA,235620
"2411",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","Consolidated Health Support","030","030","3","Y","U",2017,"OCO",NA,NA,NA,NA,NA,3325
"2412",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","Information Management","040","040","4","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2413",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","Management Activities","050","050","5","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2414",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","Education and Training","060","060","6","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2415",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","Base Operations/Communications","070","070","7","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2416",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Research","080","080","0601","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2417",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Exploratry Development","090","090","0602","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2418",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Advanced Development","100","100","0603","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2419",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Demonstration/Validation","110","110","0604","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2420",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Engineering Development","120","120","0605","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2421",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Management and Support","130","130","0606","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2422",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Capabilities Enhancement","140","140","0607","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2423",2017,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","PROC Initial Outfitting","150","150","7720","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2424",2017,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","PROC Replacement & Modernization","160","160","7721","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2425",2017,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","PROC Theater Medical Information Program","170","170","7744","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2426",2017,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","PROC Joint Operational Medicine Information System","180","180","7746","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2427",2017,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","PROC IEHR","190","190","7784","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2428",2017,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","PROC DoD Healthcare Management System Modernization","200","200","7787","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2429",2017,"0819D","Overseas Humanitarian, Disaster, and Civic Aid","DSCA","01","Humanitarian Assistance","Defensewide Activities","Overseas Humanitarian, Disaster and Civic Aid","010","010","4GTD","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2430",2017,"0134D","Cooperative Threat Reduction Account","DTRA","01","FSU Threat Reduction","Defensewide Activities","Former Soviet Union (FSU) Threat Reduction","010","010","1PL3","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2431",2017,"5751D","Contributions to the Cooperative Threat Red Pgm","DTRA","01","FSU Threat Reduction","Defensewide Activities","Contributions to the CTR Program","010","010","1PL3","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2432",2017,"0111D","DoD Acquisition Workforce Development Fund","DAU","01","Acquisition Workforce Development","Acq Workforce Dev Fd","Acq Workforce Dev Fd","010","010","012","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2433",2017,"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS","01","Drug Interdiction And Counter Drug Activities","Defensewide Activities","Drug Interdiction and Counter-Drug Activities, Defense","010","010","2FU1","Y","U",2017,"OCO",NA,NA,NA,NA,NA,215333
"2434",2017,"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPSDDR","02","Drug Demand Reduction Program","Drug Intrdct & Cntr-Drg Act, Def","Drug Demand Reduction Program","020","020","ES01","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2435",2017,"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS","03","National Guard Counter-Drug Program","Drug Intrdct & Cntr-Drg Act, Def","National Guard Counter-Drug Program","030","030","ES01","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2436",2017,"0810A","Environmental Restoration, Army","ARMY","01","Department Of The Army","Defense Environmental Restoration Fund","Environmental Restoration, Army","040","040","493","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2437",2017,"0810N","Environmental Restoration, Navy","NAVY","02","Department Of The Navy","Closed Account Adjustments","Environmental Restoration, Navy","050","050","044G","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2438",2017,"0810F","Environmental Restoration, Air Force","AF","03","Department Of The Air Force","Closed Account Adjustments","Environmental Restoration, Air Force","060","060","042G","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2439",2017,"0810D","Environmental Restoration, Defense","DEFW","04","Defense-Wide","Closed Account Adjustments","Environmental Restoration, Defense","070","070","045G","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2440",2017,"0811D","Environmental Restoration Formerly Used Sites","DEFW","05","Defense-Wide","Closed Account Adjustments","Environmental Restoration Formerly Used Sites","080","080","047G","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2441",2017,"0145D","Counterterrorism Partnerships Fund","DEFW","01","Counterterrorism Partnerships Fund","Counterterrorism Partnerships Fund","Counterterrorism Partnerships Fund","090","090","010","Y","U",2017,"OCO",NA,NA,NA,NA,NA,1e+06
"2442",2017,"0838D","Support for International Sporting Competitions , Defense","DEFW","01","Operations Support","Closed Account Adjustments","Support of International Sporting Competitions, Defense","100","100","054","Y","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2443",2017,"5188D","Disposal of DoD Real Property","AF","10","Concept Obligations","Disposal of DoD Real Property","Disposal of DoD Real Property","110","110","110","N","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2444",2017,"5188D","Disposal of DoD Real Property","ARMY","10","Concept Obligations","Disposal of DoD Real Property","Disposal of DoD Real Property","120","120","110","N","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2445",2017,"5188D","Disposal of DoD Real Property","NAVY","10","Concept Obligations","Disposal of DoD Real Property","Disposal of DoD Real Property","130","130","110","N","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2446",2017,"5189D","Lease of DoD Real Property","AF","10","Concept Obligations","Lease of DoD Real Property","Lease of DoD Real Property","140","140","110","N","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2447",2017,"5189D","Lease of DoD Real Property","ARMY","10","Concept Obligations","Lease of DoD Real Property","Lease of DoD Real Property","150","150","110","N","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2448",2017,"5189D","Lease of DoD Real Property","NAVY","10","Concept Obligations","Lease of DoD Real Property","Lease of DoD Real Property","160","160","110","N","U",2017,"OCO",NA,NA,NA,NA,NA,0
"2449",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,"OCO",NA,NA,NA,NA,NA,NA
"2450",2017,"* Defense Health Program - $137.4M for transfer to the Department of Veterans Affairs included in this total.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,"OCO",NA,NA,NA,NA,NA,NA
"2451",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Maneuver Units","010","010","111","Y","U",2017,"Total",NA,NA,NA,NA,1535606,NA
"2452",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Modular Support Brigades","020","020","112","Y","U",2017,"Total",NA,NA,NA,NA,74277,NA
"2453",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Echelons Above Brigade","030","030","113","Y","U",2017,"Total",NA,NA,NA,NA,477437,NA
"2454",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Theater Level Assets","040","040","114","Y","U",2017,"Total",NA,NA,NA,NA,2503042,NA
"2455",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Land Forces Operations Support","050","050","115","Y","U",2017,"Total",NA,NA,NA,NA,1701086,NA
"2456",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Aviation Assets","060","060","116","Y","U",2017,"Total",NA,NA,NA,NA,1525641,NA
"2457",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","Force Readiness Operations Support","070","070","121","Y","U",2017,"Total",NA,NA,NA,NA,4892444,NA
"2458",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Systems Readiness","080","080","122","Y","U",2017,"Total",NA,NA,NA,NA,916341,NA
"2459",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Depot Maintenance","090","090","123","Y","U",2017,"Total",NA,NA,NA,NA,1363452,NA
"2460",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Base Operations Support","100","100","131","Y","U",2017,"Total",NA,NA,NA,NA,7862092,NA
"2461",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Facilities Sustainment, Restoration & Modernization","110","110","132","Y","U",2017,"Total",NA,NA,NA,NA,2234546,NA
"2462",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Management and Operational Headquarters","120","120","133","Y","U",2017,"Total",NA,NA,NA,NA,452105,NA
"2463",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Combatant Commanders Core Operations","130","130","134","Y","U",2017,"Total",NA,NA,NA,NA,155658,NA
"2464",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Additional Activities","140","140","135","Y","U",2017,"Total",NA,NA,NA,NA,8245766,NA
"2465",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Commanders Emergency Response Program","150","150","136","Y","U",2017,"Total",NA,NA,NA,NA,5000,NA
"2466",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","RESET","160","160","137","Y","U",2017,"Total",NA,NA,NA,NA,1100722,NA
"2467",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Combatant Commands Direct Mission Support","170","170","138","Y","U",2017,"Total",NA,NA,NA,NA,520711,NA
"2468",2017,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","Strategic Mobility","180","180","211","Y","U",2017,"Total",NA,NA,NA,NA,336329,NA
"2469",2017,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","Army Prepositioned Stocks","190","190","212","Y","U",2017,"Total",NA,NA,NA,NA,741048,NA
"2470",2017,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","Industrial Preparedness","200","200","213","Y","U",2017,"Total",NA,NA,NA,NA,7401,NA
"2471",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","Officer Acquisition","210","210","311","Y","U",2017,"Total",NA,NA,NA,NA,131942,NA
"2472",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","Recruit Training","220","220","312","Y","U",2017,"Total",NA,NA,NA,NA,47846,NA
"2473",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","One Station Unit Training","230","230","313","Y","U",2017,"Total",NA,NA,NA,NA,45419,NA
"2474",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","Senior Reserve Officers Training Corps","240","240","314","Y","U",2017,"Total",NA,NA,NA,NA,482747,NA
"2475",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Specialized Skill Training","250","250","321","Y","U",2017,"Total",NA,NA,NA,NA,924590,NA
"2476",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Flight Training","260","260","322","Y","U",2017,"Total",NA,NA,NA,NA,902845,NA
"2477",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Professional Development Education","270","270","323","Y","U",2017,"Total",NA,NA,NA,NA,225604,NA
"2478",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Training Support","280","280","324","Y","U",2017,"Total",NA,NA,NA,NA,609968,NA
"2479",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Recruiting and Advertising","290","290","331","Y","U",2017,"Total",NA,NA,NA,NA,550599,NA
"2480",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Examining","300","300","332","Y","U",2017,"Total",NA,NA,NA,NA,187263,NA
"2481",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Off-Duty and Voluntary Education","310","310","333","Y","U",2017,"Total",NA,NA,NA,NA,189556,NA
"2482",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Civilian Education and Training","320","320","334","Y","U",2017,"Total",NA,NA,NA,NA,184089,NA
"2483",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Junior Reserve Officer Training Corps","330","330","335","Y","U",2017,"Total",NA,NA,NA,NA,171167,NA
"2484",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","Servicewide Transportation","350","350","421","Y","U",2017,"Total",NA,NA,NA,NA,1151138,NA
"2485",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","Central Supply Activities","360","360","422","Y","U",2017,"Total",NA,NA,NA,NA,850060,NA
"2486",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","Logistic Support Activities","370","370","423","Y","U",2017,"Total",NA,NA,NA,NA,778757,NA
"2487",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","Ammunition Management","380","380","424","Y","U",2017,"Total",NA,NA,NA,NA,383984,NA
"2488",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Administration","390","390","431","Y","U",2017,"Total",NA,NA,NA,NA,451556,NA
"2489",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Servicewide Communications","400","400","432","Y","U",2017,"Total",NA,NA,NA,NA,1888123,NA
"2490",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Manpower Management","410","410","433","Y","U",2017,"Total",NA,NA,NA,NA,276403,NA
"2491",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Other Personnel Support","420","420","434","Y","U",2017,"Total",NA,NA,NA,NA,474951,NA
"2492",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Other Service Support","430","430","435","Y","U",2017,"Total",NA,NA,NA,NA,1096074,NA
"2493",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Army Claims Activities","440","440","436","Y","U",2017,"Total",NA,NA,NA,NA,207800,NA
"2494",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Real Estate Management","450","450","437","Y","U",2017,"Total",NA,NA,NA,NA,426545,NA
"2495",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Financial Management and Audit Readiness","460","460","438","Y","U",2017,"Total",NA,NA,NA,NA,250612,NA
"2496",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support of Other Nations","International Military Headquarters","470","470","441","Y","U",2017,"Total",NA,NA,NA,NA,416587,NA
"2497",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support of Other Nations","Misc. Support of Other Nations","480","480","442","Y","U",2017,"Total",NA,NA,NA,NA,36666,NA
"2498",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Closed Account Adjustments","Closed Account Adjustments","490","490","451","Y","U",2017,"Total",NA,NA,NA,NA,0,NA
"2499",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Closed Account Adjustments","Foreign Currency Fluctuation","500","500","471","Y","U",2017,"Total",NA,NA,NA,NA,0,NA
"2500",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Closed Account Adjustments","Defense Environmental Restoration Account (DERA)","510","510","493","Y","U",2017,"Total",NA,NA,NA,NA,0,NA
"2501",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Judgment Fund","Judgment Fund","520","520","461","Y","U",2017,"Total",NA,NA,NA,NA,0,NA
"2502",2017,"2020A","Operation & Maintenance, Army","","04","Admin & Srvwide Activities","","Classified Programs","","","9999","Y","U",2017,"Total",NA,NA,NA,NA,2060301,NA
"2503",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Modular Support Brigades","010","010","112","Y","U",2017,"Total",NA,NA,NA,NA,12143,NA
"2504",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Echelons Above Brigade","020","020","113","Y","U",2017,"Total",NA,NA,NA,NA,506594,NA
"2505",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Theater Level Assets","030","030","114","Y","U",2017,"Total",NA,NA,NA,NA,116538,NA
"2506",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Land Forces Operations Support","040","040","115","Y","U",2017,"Total",NA,NA,NA,NA,565612,NA
"2507",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Aviation Assets","050","050","116","Y","U",2017,"Total",NA,NA,NA,NA,91770,NA
"2508",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","Force Readiness Operations Support","060","060","121","Y","U",2017,"Total",NA,NA,NA,NA,352884,NA
"2509",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Systems Readiness","070","070","122","Y","U",2017,"Total",NA,NA,NA,NA,101926,NA
"2510",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Depot Maintenance","080","080","123","Y","U",2017,"Total",NA,NA,NA,NA,56219,NA
"2511",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","Base Operations Support","090","090","131","Y","U",2017,"Total",NA,NA,NA,NA,588496,NA
"2512",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","Facilities Sustainment, Restoration & Modernization","100","100","132","Y","U",2017,"Total",NA,NA,NA,NA,214955,NA
"2513",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","Management and Operational Headquarters","110","110","133","Y","U",2017,"Total",NA,NA,NA,NA,37620,NA
"2514",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Logistics Operations","Servicewide Transportation","120","120","421","Y","U",2017,"Total",NA,NA,NA,NA,11027,NA
"2515",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Administration","130","130","431","Y","U",2017,"Total",NA,NA,NA,NA,16749,NA
"2516",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Servicewide Communications","140","140","432","Y","U",2017,"Total",NA,NA,NA,NA,17825,NA
"2517",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Manpower Management","150","150","433","Y","U",2017,"Total",NA,NA,NA,NA,6177,NA
"2518",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Recruiting and Advertising","160","160","434","Y","U",2017,"Total",NA,NA,NA,NA,54475,NA
"2519",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Closed Account Adjustments","Closed Account Adjustments","170","170","451","Y","U",2017,"Total",NA,NA,NA,NA,0,NA
"2520",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Maneuver Units","010","010","111","Y","U",2017,"Total",NA,NA,NA,NA,724400,NA
"2521",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Modular Support Brigades","020","020","112","Y","U",2017,"Total",NA,NA,NA,NA,197999,NA
"2522",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Echelons Above Brigade","030","030","113","Y","U",2017,"Total",NA,NA,NA,NA,826978,NA
"2523",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Theater Level Assets","040","040","114","Y","U",2017,"Total",NA,NA,NA,NA,90813,NA
"2524",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Land Forces Operations Support","050","050","115","Y","U",2017,"Total",NA,NA,NA,NA,37138,NA
"2525",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Aviation Assets","060","060","116","Y","U",2017,"Total",NA,NA,NA,NA,920429,NA
"2526",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","Force Readiness Operations Support","070","070","121","Y","U",2017,"Total",NA,NA,NA,NA,708702,NA
"2527",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Systems Readiness","080","080","122","Y","U",2017,"Total",NA,NA,NA,NA,61240,NA
"2528",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Depot Maintenance","090","090","123","Y","U",2017,"Total",NA,NA,NA,NA,219948,NA
"2529",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","Base Operations Support","100","100","131","Y","U",2017,"Total",NA,NA,NA,NA,1058812,NA
"2530",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","Facilities Sustainment, Restoration & Modernization","110","110","132","Y","U",2017,"Total",NA,NA,NA,NA,676715,NA
"2531",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","Management and Operational Headquarters","120","120","133","Y","U",2017,"Total",NA,NA,NA,NA,1022064,NA
"2532",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Logistics Operations","Servicewide Transportation","130","130","421","Y","U",2017,"Total",NA,NA,NA,NA,6396,NA
"2533",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Administration","140","140","431","Y","U",2017,"Total",NA,NA,NA,NA,68528,NA
"2534",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Servicewide Communications","150","150","432","Y","U",2017,"Total",NA,NA,NA,NA,76524,NA
"2535",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Manpower Management","160","160","433","Y","U",2017,"Total",NA,NA,NA,NA,7712,NA
"2536",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Other Personnel Support","170","170","434","Y","U",2017,"Total",NA,NA,NA,NA,245046,NA
"2537",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Real Estate Management","180","180","437","Y","U",2017,"Total",NA,NA,NA,NA,2961,NA
"2538",2017,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","Sustainment","010","010","110","Y","U",2017,"Total",NA,NA,NA,NA,2173341,NA
"2539",2017,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","Infrastructure","020","020","120","Y","U",2017,"Total",NA,NA,NA,NA,48262,NA
"2540",2017,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","Equipment and Transportation","030","030","130","Y","U",2017,"Total",NA,NA,NA,NA,821716,NA
"2541",2017,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","Training and Operations","040","040","140","Y","U",2017,"Total",NA,NA,NA,NA,289139,NA
"2542",2017,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","Sustainment","050","050","210","Y","U",2017,"Total",NA,NA,NA,NA,860441,NA
"2543",2017,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","Infrastructure","060","060","220","Y","U",2017,"Total",NA,NA,NA,NA,20837,NA
"2544",2017,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","Equipment and Transportation","070","070","230","Y","U",2017,"Total",NA,NA,NA,NA,8153,NA
"2545",2017,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","Training and Operations","080","080","240","Y","U",2017,"Total",NA,NA,NA,NA,41326,NA
"2546",2017,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","Sustainment","090","090","410","Y","U",2017,"Total",NA,NA,NA,NA,0,NA
"2547",2017,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","Training and Operations","100","100","440","Y","U",2017,"Total",NA,NA,NA,NA,0,NA
"2548",2017,"2097A","Iraq Train and Equip Fund","ARMY","01","Iraq Train and Equip Fund","Defense Forces","Iraq Train and Equip Fund","010","010","140","Y","U",2017,"Total",NA,NA,NA,NA,919500,NA
"2549",2017,"2098A","Syria Train and Equip Fund","ARMY","01","Syria Train and Equip Fund","Defense Forces","Syria Train and Equip Fund","010","010","140","Y","U",2017,"Total",NA,NA,NA,NA,250000,NA
