"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","PBtotal","PBtype","QuantActualTotal","QuantPBtotal","QuantPBtype"
"89",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","13 ","6406GA0700","M1 Abrams Tank (MOD)","A","Weapon System Cost","13 ","Add","U",2010,"Total",174562,NA,NA,0,NA,NA
"90",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","14 ","6500GA0750","Abrams Upgrade Program","A","Weapon System Cost","14 ","Add","U",2010,"Total",185038,NA,NA,22,NA,NA
"91",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","30","Support Equipment & Facilities","15 ","5960GA0050","Production Base Support (TCV-WTCV)","A","Weapon System Cost","15 ","Add","U",2010,"Total",6581,NA,NA,0,NA,NA
"92",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","16 ","1366G01300","Howitzer, Light, Towed, 105mm, M119","A","Weapon System Cost","16 ","Add","U",2010,"Total",39536,NA,NA,0,NA,NA
"93",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","17 ","1696G16101","Integrated Air Burst Weapon System Family","A","Weapon System Cost","17 ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"94",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","18 ","2472G13000","M240 Medium Machine Gun (7.62MM)","A","Weapon System Cost","18 ","Add","U",2010,"Total",19296,NA,NA,1400,NA,NA
"95",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","19 ","5000GB2000","Machine Gun, Cal .50 M2 Roll","A","Weapon System Cost","19 ","Add","U",2010,"Total",82491,NA,NA,4230,NA,NA
"96",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","20 ","5237G12800","Lightweight .50 Caliber Machine Gun","A","Weapon System Cost","20 ","Add","U",2010,"Total",974,NA,NA,0,NA,NA
"97",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","21 ","5632G12900","M249 Saw Machine Gun (5.56MM)","A","Weapon System Cost","21 ","Add","U",2010,"Total",2526,NA,NA,0,NA,NA
"98",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","22 ","6106G13400","Mk-19 Grenade Machine Gun (40MM)","A","Weapon System Cost","22 ","Add","U",2010,"Total",7676,NA,NA,0,NA,NA
"99",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","23 ","6580G02200","Mortar Systems","A","Weapon System Cost","23 ","Add","U",2010,"Total",14733,NA,NA,275,NA,NA
"100",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","24 ","8165G01500","M107, Cal. 50, Sniper Rifle","A","Weapon System Cost","24 ","Add","U",2010,"Total",223,NA,NA,0,NA,NA
"101",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","25 ","8181G01501","Xm320 Grenade Launcher Module (GLM)","A","Weapon System Cost","25 ","Add","U",2010,"Total",29874,NA,NA,8025,NA,NA
"102",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","26 ","8182G01505","M110 Semi-Automatic Sniper System (SASS)","A","Weapon System Cost","26 ","Add","U",2010,"Total",6204,NA,NA,422,NA,NA
"103",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","27 ","8198G14904","M4 Carbine","A","Weapon System Cost","27 ","Add","U",2010,"Total",20437,NA,NA,12000,NA,NA
"104",2012,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","28 ","8262G18300","Shotgun, Modular Accessory System (MASS)","A","Weapon System Cost","28 ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
